Username;Code_Film;Avis;Film_ID;Review_Index
yannis;Speed 2 : Cap sur le danger;Positif;83;0
yannis;Les Bronzés font du ski;Negatif;49;0
yannis;Batman: Gotham Knight;Positif;28;0
yannis;Starship Troopers 3;Positif;17;0
yannis;Paï : l'élue d'un peuple nouveau;Negatif;70;0
yannis;L'Homme sans âge;Positif;69;0
yannis;Tenet;Positif;100;0
yannis;Tonnerre sous les Tropiques;Positif;102;0
yannis;Elektra;Negatif;37;0
yannis;La Vie de David Gale;Neutre;11;0
Maxime;Insoupçonnable;Positif;47;0
Maxime;Annihilation;Negatif;82;0
Maxime;L'Inspecteur Harry est la dernière cible;Neutre;79;0
Maxime;Phantasm 4;Positif;90;0
Maxime;Cars;Neutre;103;0
yannis;Cars;Negatif;103;0
testeur1;Cars;Positif;103;0
testeur2;Cars;Neutre;103;0
Maxime;Cars;Positif;104;1
